id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
3YCcsuRdJArE4rsAG5V3sW,0.767,0.702,4,-5.952,0,0.0316,0.157,9.07e-05,0.0633,0.869,104.619
0Gx4VrHzS7pZOEAGrmXXBH,0.745,0.944,0,-3.959,1,0.134,0.21,1.45e-06,0.333,0.951,179.991
05zCw24BdvZKGeC5NXowVe,0.697,0.656,9,-7.062,0,0.0283,0.43,4.66e-05,0.221,0.881,119.632
1fvUFrI1xldRHB2yopccjn,0.5,0.922,9,-4.468,1,0.0383,0.000353,0.00601,0.0316,0.542,148.768
5LzZBMRQ8Ui4eu5uGIO4Zh,0.612,0.536,5,-9.658,1,0.0284,0.00534,2.2e-06,0.25,0.578,101.768
1NXvuBAq48QrxRFQZVmORQ,0.439,0.852,11,-8.967,0,0.198,0.259,5.19e-06,0.357,0.276,88.487
3BiiSLo0wyHAY7lpCEO6ge,0.501,0.684,11,-6.706,1,0.0566,0.00494,0.000478,0.0524,0.442,131.952
2Ldb2ytuC9AxhpAkVEJBI6,0.822,0.3,0,-8.034,1,0.0673,0.882,9.15e-05,0.0665,0.734,125.951
0rt63HYAAIzUZo5O2D0uA6,0.471,0.396,8,-6.654,1,0.0336,0.77,0.0,0.0729,0.263,149.609
1i4F583d9v9RabcfOlKKVL,0.485,0.54,1,-5.4,1,0.0253,0.668,0.0,0.0849,0.426,62.631
0VuDtcT7H4CAljLZEH021x,0.686,0.765,8,-4.778,1,0.118,0.0122,0.0,0.127,0.743,99.998
2SUxn2O9NHL6GHGQFgwCY0,0.763,0.661,4,-5.592,0,0.056,0.169,0.0,0.117,0.632,95.002
5sv0WnUs74Orn6GoPmC5im,0.672,0.73,5,-4.77,1,0.0372,0.113,0.0,0.0612,0.559,123.969
0YbI9lWxUBsCJLb6EBydkr,0.578,0.558,2,-5.438,1,0.0872,0.236,0.0,0.143,0.54,75.087
3NuLxTXowTRcguTh9RsPmM,0.567,0.211,0,-9.975,1,0.0315,0.952,5.24e-05,0.275,0.289,134.019
3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011
5QYnNhTKsN3kE7OaqILA1U,0.587,0.267,8,-9.206,1,0.0349,0.84,0.0,0.121,0.352,98.845
50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02
2JiHR4gCDjXwYVRDmwdk95,0.631,0.825,11,-3.971,1,0.0433,0.0167,0.0,0.122,0.427,129.942
4fcbxnnfUycb7fJAInJOob,0.38,0.637,5,-7.128,1,0.0274,0.28,0.0,0.0545,0.392,183.968
6UCFZ9ZOFRxK8oak7MdPZu,0.703,0.215,2,-23.03,1,0.0892,0.728,1.23e-06,0.13,0.522,100.874
5aHHf6jrqDRb1fcBmue2kn,0.647,0.487,11,-10.119,0,0.0689,0.00101,0.285,0.138,0.222,123.444
5eZrW59C3UgBhkqNlowEID,0.543,0.458,0,-8.976,1,0.0274,0.226,0.00663,0.298,0.704,84.319
01SfTM5nfCou5gQL70r6gs,0.419,0.152,0,-12.126,1,0.0277,0.326,0.0034,0.113,0.239,80.608
2jtUGFsqanQ82zqDlhiKIp,0.53,0.72,2,-8.793,1,0.0338,0.00376,3.38e-05,0.314,0.69,80.652
1FTCA6wQwulQFokDddKE68,0.474,0.939,11,-8.884,0,0.199,0.00472,0.674,0.19,0.499,166.829
4JOyMhad5dD81uGYLGgKrS,0.676,0.596,4,-9.107,1,0.0272,0.0699,1.96e-05,0.351,0.97,100.687
4nwKdZID1ht0lDBJ5h2p87,0.483,0.177,2,-17.629,1,0.0277,0.284,0.499,0.116,0.192,74.994
1jOLTO379yIu9aMnCkpMQl,0.335,0.416,0,-11.051,1,0.0348,0.345,0.136,0.116,0.223,174.464
1rxoyGj1QuPoVi8fOft1Kt,0.328,0.249,2,-11.777,1,0.0272,0.754,5.77e-06,0.134,0.162,81.257
6dGnYIeXmHdcikdzNNDMm2,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171
3Z25k4ZF6QENy2d9YatsM5,0.37,0.515,2,-9.487,0,0.0321,0.0233,0.205,0.0966,0.42,115.732
0suLngfo7rJoetk7Ub6N8l,0.626,0.512,1,-9.15,0,0.0247,0.155,4.65e-05,0.215,0.73,92.225
2mxByJWOajjiVsLWjNXvDJ,0.422,0.656,4,-8.412,1,0.0397,0.0126,0.0279,0.268,0.549,173.93
2S8xyNRJX1XQdo3qnTuovI,0.764,0.426,2,-11.045,1,0.0405,0.629,0.000119,0.132,0.726,131.12
0pNeVovbiZHkulpGeOx1Gj,0.396,0.338,0,-10.872,1,0.0304,0.198,2.62e-06,0.138,0.377,133.522
2EqlS6tkEnglzr7tkKAAYD,0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007
6L4g3GDDQnbwo9fqPyv0AZ,0.812,0.638,6,-8.116,0,0.0612,0.0219,0.154,0.0905,0.905,135.14
5nDPGDOqmAeSV4hXQsAU01,0.869,0.75,7,-8.6,1,0.048,0.0311,0.0049,0.163,0.961,132.844
4Gq2ydMKhDZmctzkmk2bYo,0.769,0.457,8,-11.501,1,0.327,0.0292,3.07e-05,0.0599,0.806,78.789
251aFD82kJ2eCfvozNQB6b,0.478,0.692,8,-7.015,1,0.0559,0.19,0.0,0.0629,0.398,112.549
3DuBPMUKNtdrFUt5Yu9Yqg,0.601,0.762,2,-6.906,0,0.0453,0.679,1.61e-06,0.358,0.754,76.979
4ypudCmFDkvLrj5DY6VJzj,0.232,0.0928,7,-23.182,1,0.0443,0.988,0.871,0.0732,0.0373,76.735
3ffOAzYzKKXWJQsUr8Ug2x,0.102,0.182,2,-23.077,1,0.0362,0.982,0.838,0.106,0.0516,89.756
7LZFV2M8Cykg3E7Pl1BaGD,0.0802,0.0691,2,-23.836,1,0.0414,0.914,0.953,0.147,0.0386,82.594
7hnCaQEval6RNY94wx7XMv,0.092,0.0738,7,-18.457,1,0.0435,0.936,0.982,0.173,0.0411,72.406
